City,Pincode,Neighborhood,Latitude,Longitude
Mumbai,400001,Stock Exchange,18.6291,72.8919
Mumbai,400001,M.P.T.,18.6291,72.8919
Mumbai,400002,Kalbadevi,17.0509,73.291
Mumbai,400002,S. C. Court,17.0509,73.291
Mumbai,400002,Ramwadi,17.0509,73.291
Mumbai,400002,Thakurdwar,17.0509,73.291
Mumbai,400003,Mandvi (Mumbai),18.95,72.8333
Mumbai,400003,Null Bazar,18.95,72.8333
Mumbai,400003,B.P.Lane,18.95,72.8333
Mumbai,400003,Masjid,18.95,72.8333
Mumbai,400004,Girgaon,18.95,72.8167
Mumbai,400004,Madhavbaug,18.95,72.8167
Mumbai,400005,Colaba,18.9069,72.8106
Mumbai,400006,Malabar Hill,18.95,72.7833
Mumbai,400007,Tardeo,18.9667,72.8167
Mumbai,400008,Falkland Road,18.6291,72.8919
Mumbai,400008,Mumbai Central,18.6291,72.8919
Mumbai,400008,M A Marg,18.6291,72.8919
Mumbai,400008,J.J.Hospital,18.6291,72.8919
Mumbai,400008,Kamathipura,18.6291,72.8919
Mumbai,400009,Noor Baug,18.6291,72.8919
Mumbai,400009,Princess Dock,18.6291,72.8919
Mumbai,400009,Chinchbunder,18.6291,72.8919
Mumbai,400010,Mazgaon,18.3667,72.9333
Mumbai,400010,Mazgaon Road,18.3667,72.9333
Mumbai,400010,V K Bhavan,18.3667,72.9333
Mumbai,400010,Mazgaon Dock,18.3667,72.9333
Mumbai,400010,Dockyard Road,18.3667,72.9333
Mumbai,400011,Agripada,18.9833,72.8333
Mumbai,400011,Chinchpokli,18.9833,72.8333
Mumbai,400011,Jacob Circle,18.9833,72.8333
Mumbai,400011,Haines Road,18.9833,72.8333
Mumbai,400012,Parel,19,72.8333
Mumbai,400012,Chamarbaug,19,72.8333
Mumbai,400012,Haffkin Institute,19,72.8333
Mumbai,400012,Lal Baug,19,72.8333
Mumbai,400012,Parel Naka,19,72.8333
Mumbai,400012,Parel Rly Work Shop,19,72.8333
Mumbai,400012,BEST STaff Quarters,19,72.8333
Mumbai,400013,Delisle Road,18.9448,72.8524
Mumbai,400014,Naigaon (Mumbai),19.0201,72.8381
Mumbai,400014,Dadar,19.0201,72.8381
Mumbai,400014,Dadar Colony,19.0201,72.8381
Mumbai,400015,Sewri,19,72.85
Mumbai,400016,Mahim,19.0333,72.85
Mumbai,400016,Mahim Bazar,19.0333,72.85
Mumbai,400016,Mori Road,19.0333,72.85
Mumbai,400016,Kapad Bazar,19.0333,72.85
Mumbai,400016,Mahim East,19.0333,72.85
Mumbai,400017,Dharavi Road,19.05,72.8667
Mumbai,400017,Dharavi,19.05,72.8667
Mumbai,400018,Worli,19.0167,72.8167
Mumbai,400018,Worli Naka,19.0167,72.8167
Mumbai,400019,Matunga,19.0333,72.85
Mumbai,400020,Marine Lines,18.986,72.8259
Mumbai,400020,Churchgate,18.986,72.8259
Mumbai,400020,Central Building,18.986,72.8259
Mumbai,400021,Nariman Point,18.9274,72.8241
Mumbai,400021,New Yogakshema,18.9274,72.8241
Mumbai,400022,Sion,19.0333,72.85
